PROD_ID,QTY,PRICE,DISCOUNT,MEMBER,TXN_ID,START_TXN_TIME
c4a632,4,13,17,TRUE,54f307,2021-02-13T01:59:43.296Z
5d267b,4,40,17,TRUE,54f307,2021-02-13T01:59:43.296Z
b9a74d,4,17,17,TRUE,54f307,2021-02-13T01:59:43.296Z
2feb6b,2,29,17,TRUE,54f307,2021-02-13T01:59:43.296Z
c4a632,5,13,21,TRUE,26cc98,2021-01-19T01:39:00.3456Z
e31d39,2,10,21,TRUE,26cc98,2021-01-19T01:39:00.3456Z
72f5d4,3,19,21,TRUE,26cc98,2021-01-19T01:39:00.3456Z
2a2353,3,57,21,TRUE,26cc98,2021-01-19T01:39:00.3456Z
f084eb,3,36,21,TRUE,26cc98,2021-01-19T01:39:00.3456Z
c4a632,1,13,21,FALSE,ef648d,2021-01-27T02:18:17.1648Z
e83aa3,5,32,21,FALSE,ef648d,2021-01-27T02:18:17.1648Z
d5e9a6,1,23,21,FALSE,ef648d,2021-01-27T02:18:17.1648Z
72f5d4,1,19,21,FALSE,ef648d,2021-01-27T02:18:17.1648Z
5d267b,3,40,21,FALSE,ef648d,2021-01-27T02:18:17.1648Z
f084eb,4,36,21,FALSE,ef648d,2021-01-27T02:18:17.1648Z
b9a74d,4,17,21,FALSE,ef648d,2021-01-27T02:18:17.1648Z
c4a632,2,13,23,TRUE,fba96f,2021-03-03T00:32:56.0544Z
e31d39,5,10,23,TRUE,fba96f,2021-03-03T00:32:56.0544Z
9ec847,3,54,23,TRUE,fba96f,2021-03-03T00:32:56.0544Z
f084eb,4,36,23,TRUE,fba96f,2021-03-03T00:32:56.0544Z
2feb6b,2,29,23,TRUE,fba96f,2021-03-03T00:32:56.0544Z
c4a632,5,13,11,TRUE,4e9268,2021-01-23T14:18:54.0576Z
e31d39,4,10,11,TRUE,4e9268,2021-01-23T14:18:54.0576Z
72f5d4,5,19,11,TRUE,4e9268,2021-01-23T14:18:54.0576Z
f084eb,2,36,11,TRUE,4e9268,2021-01-23T14:18:54.0576Z
b9a74d,2,17,11,TRUE,4e9268,2021-01-23T14:18:54.0576Z
e83aa3,4,32,4,TRUE,9717d4,2021-01-29T07:22:13.2672Z
d5e9a6,2,23,4,TRUE,9717d4,2021-01-29T07:22:13.2672Z
c8d436,4,10,4,TRUE,9717d4,2021-01-29T07:22:13.2672Z
2a2353,1,57,4,TRUE,9717d4,2021-01-29T07:22:13.2672Z
f084eb,1,36,4,TRUE,9717d4,2021-01-29T07:22:13.2672Z
72f5d4,3,19,14,FALSE,e9a1dd,2021-03-28T20:01:43.1328Z
9ec847,3,54,14,FALSE,e9a1dd,2021-03-28T20:01:43.1328Z
2a2353,4,57,14,FALSE,e9a1dd,2021-03-28T20:01:43.1328Z
f084eb,2,36,14,FALSE,e9a1dd,2021-03-28T20:01:43.1328Z
c4a632,3,13,6,FALSE,003ea6,2021-01-20T14:21:00.9792Z
e31d39,3,10,6,FALSE,003ea6,2021-01-20T14:21:00.9792Z
d5e9a6,3,23,6,FALSE,003ea6,2021-01-20T14:21:00.9792Z
9ec847,3,54,6,FALSE,003ea6,2021-01-20T14:21:00.9792Z
e31d39,5,10,20,FALSE,5d749c,2021-03-28T22:24:25.8048Z
d5e9a6,4,23,20,FALSE,5d749c,2021-03-28T22:24:25.8048Z
5d267b,5,40,20,FALSE,5d749c,2021-03-28T22:24:25.8048Z
2a2353,4,57,20,FALSE,5d749c,2021-03-28T22:24:25.8048Z
f084eb,2,36,20,FALSE,5d749c,2021-03-28T22:24:25.8048Z
d5e9a6,5,23,14,FALSE,cf6517,2021-02-21T21:45:33.3504Z
72f5d4,1,19,14,FALSE,cf6517,2021-02-21T21:45:33.3504Z
5d267b,5,40,14,FALSE,cf6517,2021-02-21T21:45:33.3504Z
b9a74d,3,17,14,FALSE,cf6517,2021-02-21T21:45:33.3504Z
c4a632,5,13,19,TRUE,48b9d7,2021-02-26T06:49:17.3856Z
e83aa3,2,32,19,TRUE,48b9d7,2021-02-26T06:49:17.3856Z
e31d39,1,10,19,TRUE,48b9d7,2021-02-26T06:49:17.3856Z
d5e9a6,2,23,19,TRUE,48b9d7,2021-02-26T06:49:17.3856Z
5d267b,5,40,19,TRUE,48b9d7,2021-02-26T06:49:17.3856Z
c8d436,1,10,19,TRUE,48b9d7,2021-02-26T06:49:17.3856Z
2a2353,3,57,19,TRUE,48b9d7,2021-02-26T06:49:17.3856Z
b9a74d,1,17,19,TRUE,48b9d7,2021-02-26T06:49:17.3856Z
2feb6b,5,29,19,TRUE,48b9d7,2021-02-26T06:49:17.3856Z
72f5d4,3,19,5,TRUE,47251d,2021-01-27T22:53:10.7808Z
